746,0,67,3209,26,1,0,6,121813,2050,10,89,77
746,0,67,3209,26,1,0,6,121813,1021,4,94,15
746,0,67,3209,26,1,0,6,121813,2082,7,20,61
746,0,67,3209,26,1,0,6,121813,8844,12,9,28
1000,0,34,6490,0,1,1,25,60760,9420,12,50,18
1000,0,34,6490,0,1,1,25,60760,668,4,8,92
1000,0,34,6490,0,1,1,25,60760,2348,10,43,23
1000,0,34,6490,0,1,1,25,60760,856,8,20,0
2741,1,22,7823,22,1,0,17,31918,499,10,12,67
2741,1,22,7823,22,1,0,17,31918,6164,5,1,35
2741,1,22,7823,22,1,0,17,31918,3172,11,12,97
2741,1,22,7823,22,1,0,17,31918,9785,10,11,71
10335,1,83,4823,25,0,0,21,524564,321,10,32,33
10335,1,83,4823,25,0,0,21,524564,4327,11,9,69
10335,1,83,4823,25,0,0,21,524564,2349,2,75,48
10335,1,83,4823,25,0,0,21,524564,3781,9,4,38
26392,0,41,2697,5,1,1,30,523723,3912,11,77,94
26392,0,41,2697,5,1,1,30,523723,5045,10,54,0
26392,0,41,2697,5,1,1,30,523723,7367,11,19,10
26392,0,41,2697,5,1,1,30,523723,4180,12,41,79
27527,1,30,9774,0,1,1,16,263266,6479,11,19,5
27527,1,30,9774,0,1,1,16,263266,2460,8,65,7
27527,1,30,9774,0,1,1,16,263266,659,12,14,34
27527,1,30,9774,0,1,1,16,263266,3768,5,18,0
32944,1,54,7571,10,1,0,19,509281,2636,4,96,19
32944,1,54,7571,10,1,0,19,509281,7513,8,6,21
32944,1,54,7571,10,1,0,19,509281,6310,1,5,48
32944,1,54,7571,10,1,0,19,509281,8418,1,37,27
33020,0,84,3446,30,0,0,17,50854,7844,2,89,43
33020,0,84,3446,30,0,0,17,50854,3308,8,50,51
33020,0,84,3446,30,0,0,17,50854,2659,4,76,27
33020,0,84,3446,30,0,0,17,50854,4805,11,59,93
45116,1,74,9783,0,0,0,26,460695,3078,5,3,75
45116,1,74,9783,0,0,0,26,460695,8868,0,14,84
45116,1,74,9783,0,0,0,26,460695,7173,4,82,86
45116,1,74,9783,0,0,0,26,460695,8586,2,47,47
45498,0,73,6868,10,0,0,6,420852,9549,9,24,0
45498,0,73,6868,10,0,0,6,420852,1026,2,55,40
